87027,697.41
60881,698.63
36699,697.25
24189,695.89
16425,697.1
10826,695.74
7573.7,694.4
4565.4,693.02
3193.8,690.39
2234.3,689.04
1563,686.41
1093.4,682.5
720.71,682.42
535.12,679.8
385.66,675.9
254.2,671.97
177.83,668.06
128.16,664.15
89.657,657.68
62.721,652.48
43.877,647.29
31.623,639.53
22.791,633.06
15.944,624.02
11.838,614.99
8.5317,602.11
6.3347,587.95
5.4584,569.98
5.1429,555.86
5.6234,540.5
6.7234,526.43
8.2814,512.36
9.9012,499.57
12.944,484.24
17.433,471.47
24.189,458.71
30.695,447.22
43.877,434.47
57.362,422.98
79.591,412.78
113.77,397.46
157.86,384.7
219.04,373.23
303.92,363.03
385.66,352.82
489.39,346.45
585.12,340.08
742.49,333.71
970.66,326.07
1346.8,312.02
1983.4,301.84
2671.3,291.64
3597.8,281.44
5458.4,269.98
8281.4,257.23
11154,248.31
15022,241.96
19062,233.03
24189,224.1
