6.7526,59.687
21.218,167.79
44.896,383.47
59.392,669.3
80.443,884.71
87.265,2342.7
91.541,4262.6
101.02,5898.6
107.97,8067.6
116.19,10023
121.65,11232
129.74,12406
139.11,13438
148.43,14114
161.68,14827
181.46,15291
202.72,16679
240.79,16576
271.1,17184
300.15,18075
331.85,19109
359.59,20001
379.2,19505
402.8,19294
424.99,18514
443.26,17805
461.48,16883
479.71,15961
504.46,14826
526.59,13691
539.57,12839
557.76,11703
575.94,10532
587.65,9893.6
607.21,9113.6
630.67,8085.1
650.21,7162.9
673.71,6347.8
701.16,5639.7
739.07,4612.7
776.93,3337
804.33,2273.4
825.16,1244.7
848.6,109.64
